 input parameter from : input/param_16.in                                                                                                               
r0, slope_xi:    1.000   1.850
v_inflow, r_inflow, slope_v12:  180.000   1.000   1.850
v_outflow, r_outflow:    0.000   1.000
s12_0:  200.000
r_eq, betaN:    0.010   1.450
  441     8.8100E+00     3.1464E+00     3.8900E-37
  442     8.8300E+00     3.1536E+00     3.8529E-37
  443     8.8500E+00     3.1607E+00     3.8164E-37
  444     8.8700E+00     3.1679E+00     3.7805E-37
  445     8.8900E+00     3.1750E+00     3.7453E-37
  446     8.9100E+00     3.1821E+00     3.7105E-37
  447     8.9300E+00     3.1893E+00     3.6764E-37
  448     8.9500E+00     3.1964E+00     3.6428E-37
  449     8.9700E+00     3.2036E+00     3.6097E-37
  450     8.9900E+00     3.2107E+00     3.5771E-37
  451     9.0100E+00     3.2179E+00     3.5450E-37
  452     9.0300E+00     3.2250E+00     3.5135E-37
  453     9.0500E+00     3.2321E+00     3.4824E-37
  454     9.0700E+00     3.2393E+00     3.4517E-37
  455     9.0900E+00     3.2464E+00     3.4215E-37
  456     9.1100E+00     3.2536E+00     3.3918E-37
  457     9.1300E+00     3.2607E+00     3.3625E-37
  458     9.1500E+00     3.2679E+00     3.3336E-37
  459     9.1700E+00     3.2750E+00     3.3052E-37
  460     9.1900E+00     3.2821E+00     3.2771E-37
  461     9.2100E+00     3.2893E+00     3.2494E-37
  462     9.2300E+00     3.2964E+00     3.2222E-37
  463     9.2500E+00     3.3036E+00     3.1953E-37
  464     9.2700E+00     3.3107E+00     3.1687E-37
  465     9.2900E+00     3.3179E+00     3.1425E-37
  466     9.3100E+00     3.3250E+00     3.1167E-37
  467     9.3300E+00     3.3321E+00     3.0912E-37
  468     9.3500E+00     3.3393E+00     3.0661E-37
  469     9.3700E+00     3.3464E+00     3.0412E-37
  470     9.3900E+00     3.3536E+00     3.0167E-37
  471     9.4100E+00     3.3607E+00     2.9925E-37
  472     9.4300E+00     3.3679E+00     2.9686E-37
  473     9.4500E+00     3.3750E+00     2.9451E-37
  474     9.4700E+00     3.3821E+00     2.9218E-37
  475     9.4900E+00     3.3893E+00     2.8988E-37
  476     9.5100E+00     3.3964E+00     2.8760E-37
  477     9.5300E+00     3.4036E+00     2.8536E-37
  478     9.5500E+00     3.4107E+00     2.8314E-37
  479     9.5700E+00     3.4179E+00     2.8095E-37
  480     9.5900E+00     3.4250E+00     2.7878E-37
  481     9.6100E+00     3.4321E+00     2.7664E-37
  482     9.6300E+00     3.4393E+00     2.7453E-37
  483     9.6500E+00     3.4464E+00     2.7244E-37
